time,ours,FNO10,FNO50,FNO100,FNO300,FNO600,POD-DON10,POD-DON50,POD-DON100,POD-DON300,POD-DON600
2.000000000000000111e-01,1.423963087867519128e-02,2.572020526230335280e-01,1.810390942543745052e-01,1.660829249769449345e-01,1.464886327087879248e-01,1.304085981100797653e-01,9.039268070459365312e-01,6.628239822387694824e-01,4.757779583334922902e-01,3.452320767939090485e-01,2.980571576207876050e-01
4.000000000000000222e-01,1.978043033121608743e-02,9.722606126219034139e-02,7.928065290674567167e-02,8.569025361910462268e-02,7.980787115171551760e-02,8.094000162556767852e-02,8.431256797909736367e-01,5.870879322290420976e-01,4.972791935503482752e-01,3.707758520543575353e-01,3.002887362241745128e-01
6.000000000000000888e-01,2.225837424990500385e-02,7.035650763660669660e-02,6.873385391198098826e-02,6.635330136865377759e-02,5.974639449268579622e-02,6.380167990922927523e-02,6.069695141911506386e-01,4.500656609237194128e-01,3.379176117479801289e-01,2.749651332199573583e-01,2.368199425190687102e-01
8.000000000000000444e-01,2.409214851221546522e-02,4.951131619513034904e-02,5.094681650400161715e-02,4.525731193833053279e-02,4.755876166746020317e-02,5.028534634970128342e-02,1.812103458866476946e-01,1.418270988389849774e-01,1.319270941615104664e-01,1.208518658578395799e-01,1.166669055819511414e-01
1.000000000000000000e+00,3.001645063710050437e-02,3.863684538751840924e-02,3.553703440353274401e-02,4.483953802846372266e-02,4.239359049126505824e-02,4.733732303604483438e-02,1.306235809996724173e-01,1.240761398151516981e-01,1.222589467465877572e-01,1.250376157835125790e-01,1.220345171913504584e-01
