time,ours,FNO10,FNO50,FNO100,FNO300,FNO600,POD-DON10,POD-DON50,POD-DON100,POD-DON300,POD-DON600
2.000000000000000111e-01,3.188611790174782426e-03,6.063205322623252957e-01,3.371308206021785825e-01,2.102914075553417306e-01,4.043009984306990962e-02,1.031825110781937893e-02,1.722329018115997368e+00,2.132889652252197177e+00,1.802426337003707912e+00,1.601743296980857822e+00,1.486014598608016879e+00
4.000000000000000222e-01,8.201207577983538055e-03,6.806884589791297735e-01,3.885387922823428930e-01,2.283178055286407548e-01,4.174723181873560285e-02,1.484576551243662820e-02,1.350986139774322581e+00,1.308880593776702961e+00,1.206946715712547302e+00,1.169438880085945209e+00,1.315561400651931834e+00
6.000000000000000888e-01,1.453255114793497796e-02,6.878393560647964033e-01,3.769078963994980103e-01,2.461586313694715533e-01,4.787816246971487999e-02,1.740289092995226522e-02,1.192481997013091988e+00,1.090188924074172894e+00,1.056116115450859150e+00,1.080023070573806754e+00,1.064283758997917273e+00
8.000000000000000444e-01,2.183062657992787883e-02,7.127500349283217851e-01,4.064381705224514030e-01,2.122966001927852620e-01,5.567752731963992313e-02,2.092625994235277134e-02,1.058606688976287735e+00,1.028582489490509122e+00,1.004906722307205236e+00,9.962413352727890192e-01,1.104176668524742055e+00
1.000000000000000000e+00,2.491119010149032975e-02,7.197051957249641641e-01,3.418866835534572490e-01,2.068714621663093611e-01,6.548610063269734438e-02,2.644923957064747658e-02,1.020562414526939410e+00,9.737625730037688943e-01,9.821733832359313965e-01,9.758015733957290383e-01,1.036790506839752268e+00
