time,ours,FNO10,FNO50,FNO100,FNO300,FNO600,POD-DON10,POD-DON50,POD-DON100,POD-DON300,POD-DON600
2.000000000000000111e-01,4.487553617874204953e-03,8.587143782526254765e-02,4.267494041472673361e-02,3.646292407065630098e-02,3.470864260569214710e-02,3.466365152969956565e-02,5.185925924777984308e-01,2.888568195700645380e-01,1.951108523458242316e-01,1.339145626500248820e-01,1.117659014835953729e-01
4.000000000000000222e-01,4.639526265686279120e-03,1.323061765637248768e-02,1.052877198904752717e-02,1.253337239846587237e-02,1.054697040934115572e-02,1.093860009685158723e-02,4.353952057659625785e-01,2.278323186188936367e-01,1.804692912101745483e-01,1.277690094336867421e-01,1.003857630491256647e-01
6.000000000000000888e-01,4.662692921133654127e-03,9.361575082875788281e-03,8.272751891054213116e-03,8.794224201701582311e-03,7.876347382552922188e-03,8.168585351668297689e-03,2.998292770236730687e-01,1.730712918192148231e-01,1.153086438030004462e-01,9.113292980939149968e-02,7.648399788886309225e-02
8.000000000000000444e-01,4.755805445425673010e-03,6.409478556597605382e-03,6.879907546099275385e-03,6.569259737152606353e-03,6.792081813327968502e-03,6.594075523316859921e-03,6.875453971326350722e-02,4.036400545388460492e-02,3.740035840310156068e-02,3.403612194582819606e-02,3.304928599856794130e-02
1.000000000000000000e+00,5.010526683096702856e-03,6.493126321583986109e-03,6.641892790794372628e-03,7.132216324098408083e-03,6.706437587272375683e-03,6.516334752086549650e-03,3.714695067144930390e-02,2.699714780319482227e-02,2.644969211891293540e-02,2.854078174568712781e-02,2.967094041407108279e-02
