time,ours,FNO10,FNO50,FNO100,FNO300,FNO600,POD-DON10,POD-DON50,POD-DON100,POD-DON300,POD-DON600
2.000000000000000111e-01,9.157703287218783156e-03,1.709289439767599228e-01,1.079786194488406154e-01,9.434311810880899318e-02,8.514865905046463401e-02,7.840271174907684215e-02,7.681593319773674100e-01,4.972804704308509960e-01,3.440264080464839891e-01,2.424742580950260129e-01,2.061703494936227843e-01
4.000000000000000222e-01,1.122309249122901455e-02,4.648598186671733939e-02,3.697361033409833631e-02,4.320865371264517169e-02,3.806341284886002874e-02,3.922352889552712524e-02,6.987743267416953730e-01,4.310707050561904952e-01,3.503485192358493650e-01,2.532444053143262930e-01,2.021407049149274715e-01
6.000000000000000888e-01,1.194096939934137687e-02,3.287156132049858653e-02,3.054365684278309220e-02,3.165919207036495264e-02,2.727292213588953032e-02,2.950656934641301618e-02,4.928846834599971971e-01,3.264478050172329171e-01,2.300127132236957639e-01,1.839434432983398371e-01,1.574299368262291055e-01
8.000000000000000444e-01,1.253612110733891803e-02,2.098404717631638036e-02,2.246751909144222709e-02,2.023536428809166038e-02,2.142792001366615462e-02,2.179175948724150491e-02,1.268358453735709268e-01,9.046050576493143425e-02,8.264141337946057098e-02,7.619190094992518703e-02,7.387674439698457829e-02
1.000000000000000000e+00,1.456370435694488881e-02,1.820222366601228700e-02,1.811099141370504928e-02,2.121426594443619196e-02,1.974101593717932784e-02,2.023104405030608233e-02,8.431178778409957608e-02,7.265139812603592373e-02,7.054670641198754200e-02,7.354472914710641351e-02,7.301826011389493665e-02
