time,ours,FNO10,FNO50,FNO100,FNO300,FNO600,POD-DON10,POD-DON50,POD-DON100,POD-DON300,POD-DON600
2.000000000000000111e-01,6.391276469745100011e-03,6.394966971874237460e-01,4.570880529284477301e-01,3.489372804760932922e-01,1.261057463288307312e-01,4.130512010306119919e-02,2.165346672534942840e+00,3.037090257406234617e+00,2.053565182685852086e+00,1.496038371920585641e+00,1.529542421102523697e+00
4.000000000000000222e-01,1.658037851288237524e-02,7.264457941055297852e-01,5.307830542325973067e-01,3.984159022569656594e-01,1.355125337094068572e-01,5.758429834619164384e-02,1.534447325468063283e+00,1.308706383705139142e+00,1.116123701930046064e+00,1.099541927576065170e+00,1.301261704564094623e+00
6.000000000000000888e-01,3.175918918928703760e-02,7.185144573450088501e-01,5.186749461293220786e-01,4.180684122443198980e-01,1.520528718829154968e-01,6.679768091067671276e-02,1.173688564300537029e+00,1.025540990233421379e+00,1.020893028378486722e+00,1.041573824286460948e+00,1.067078201174735952e+00
8.000000000000000444e-01,5.204164769612006775e-02,7.482701480388641579e-01,5.587670829892158464e-01,3.998145835101604706e-01,1.722272001951933029e-01,8.027815546840429139e-02,1.019010958075523332e+00,1.005011385679245084e+00,9.894338798522949174e-01,9.822445541620254961e-01,1.095078505277633729e+00
1.000000000000000000e+00,6.313240311443317487e-02,7.583898884057999057e-01,5.203206750750541953e-01,3.900878040492534726e-01,2.022528316080570154e-01,1.023243301361799196e-01,9.949048256874084561e-01,9.823099285364150779e-01,9.745442050695419800e-01,9.664386701583862482e-01,1.039580567479133633e+00
