time,ours,FNO10,FNO50,FNO100,FNO300,FNO600,POD-DON10,POD-DON50,POD-DON100,POD-DON300,POD-DON600
2.000000000000000111e-01,1.608554788168908931e-03,5.652512413263320878e-01,1.962223590910434634e-01,8.920427933335303705e-02,1.159457494970411034e-02,3.024867073399945937e-03,1.592557388544082686e+00,1.411429514288902176e+00,1.379502426385879499e+00,1.513629696369171107e+00,1.272234919667244002e+00
4.000000000000000222e-01,4.140544562713406596e-03,6.417074519395827847e-01,2.268615551292896271e-01,8.979620028287171873e-02,1.180514262989163475e-02,4.319897317327558821e-03,1.296864657402038601e+00,1.208120552897453237e+00,1.321553109884262112e+00,1.323540586829185406e+00,1.398227971196174702e+00
6.000000000000000888e-01,7.244393322196476977e-03,6.667805394530296192e-01,2.153120221942663171e-01,1.004952569678425750e-01,1.365035558119416167e-02,5.092395239043981219e-03,1.251705663800239510e+00,1.203341847062110892e+00,1.157906280755996775e+00,1.217531083822250393e+00,1.137721483707427872e+00
8.000000000000000444e-01,1.039712905846554812e-02,6.694620391726493480e-01,2.445932069420814481e-01,7.957208879292011761e-02,1.587678104639053331e-02,6.066265671979636370e-03,1.200682617425918641e+00,1.141210469007492012e+00,1.136562065482139561e+00,1.098580521345138505e+00,1.202205101847648727e+00
1.000000000000000000e+00,1.142003480428581234e-02,6.866407498717308489e-01,1.812649580836296070e-01,8.218662239611149167e-02,1.864942862652242336e-02,7.494808023329824556e-03,1.168132763504982075e+00,1.073580576777458218e+00,1.099309067726135236e+00,1.078114557862281719e+00,1.093379138708114651e+00
