time,ours,FNO10,FNO50,FNO100,FNO300,FNO600,POD-DON10,POD-DON50,POD-DON100,POD-DON300,POD-DON600
2.000000000000000111e-01,3.203639130853849337e-03,6.031539264321327254e-01,3.372844712436199321e-01,2.088009809702634778e-01,4.040697382763028256e-02,1.043350249063223524e-02,1.731482508182525581e+00,2.146744753122329818e+00,1.810617239475250217e+00,1.602645163536071671e+00,1.494599730372428992e+00
4.000000000000000222e-01,8.217473010326931462e-03,6.807865869998931396e-01,3.866713374853134044e-01,2.280974221974611249e-01,4.180516365915536853e-02,1.502104817889630788e-02,1.350746099948882950e+00,1.320321666598319954e+00,1.208261811137199437e+00,1.164712984561920184e+00,1.327115037441253698e+00
6.000000000000000888e-01,1.459680209603974460e-02,6.881866014003753529e-01,3.760988123714923970e-01,2.453683333098888308e-01,4.811153320595622229e-02,1.738675164990127059e-02,1.188940966725349435e+00,1.092667430043220422e+00,1.060255014300346410e+00,1.076975187659263700e+00,1.071059131026268041e+00
8.000000000000000444e-01,2.175751588612853671e-02,7.122871071100235207e-01,4.064900568127632341e-01,2.115997023880481775e-01,5.527424026280641778e-02,2.080333837307989445e-02,1.056940756440162721e+00,1.026720854640007063e+00,1.000623299479484585e+00,9.961729139089584573e-01,1.108744534850120589e+00
1.000000000000000000e+00,2.484841370797317636e-02,7.193243190646171348e-01,3.405322986841201605e-01,2.059597930312156711e-01,6.468962460756301491e-02,2.631131596863269667e-02,1.017223305702209535e+00,9.722225916385650590e-01,9.821161919832229747e-01,9.726202964782715288e-01,1.032582807540893599e+00
